YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1966,6.3,GREECE,GREECE:  CENTRAL,39.2,22,90,90
1966,6.5,CHINA,CHINA:YUNNAN PROVINCE,26.1,103.1,90,180
1966,6.2,CHINA,CHINA:YUNNAN PROVINCE,26.1,103.1,90,180
1966,5.2,CHINA,CHINA:HEBEI PROVINCE,37.47,115.03,90,180
1966,6,TURKEY,"TURKEY:  VARTO, MUS",39.1,41.6,90,90
1966,7.4,CHINA,CHINA:HEBEI PROVINCE,37.35,114.92,90,180
1966,8,TAIWAN,TAIWAN,24.1,122.6,90,180
1966,5.6,CHINA,CHINA:HEBEI PROVINCE,37.27,114.97,90,180
1966,7,UGANDA,"UGANDA:  KICHWAMBA, BONDIBOGYO",0.6,30.2,90,90
1966,7.6,CHINA,CHINA:HEBEI PROVINCE,37.5,115.1,90,180
1966,6.2,CHINA,CHINA:HEBEI PROVINCE,37.68,115.27,90,180
1966,5.3,CHINA,CHINA:HEBEI PROVINCE,37.25,114.78,90,180
1966,,UZBEKISTAN,UZBEKISTAN:  TASHKENT,41.2,69.1,90,90
1966,4.8,TURKEY,TURKEY,38,42.6,90,90
1966,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS:  GUADALCANAL,-10.343,160.883,0,180
1966,6.3,NEPAL,NEPAL-INDIA,29.554,80.854,90,90
1966,,TURKEY,TURKEY:  MUS,38.5,41.3,90,90
1966,4.6,TURKEY,TURKEY:  BAGICI,38.9,41.3,90,90
1966,5.5,RUSSIA,RUSSIA:  BLACK SEA,44.75,37,90,90
1966,5.6,INDIA,INDIA:  N,28.7,78.9,90,90
1966,6.8,TURKEY,TURKEY:  VARTO,39.2,41.6,90,90
1966,5.9,GREECE,GREECE:  SOUTHERN,37.5,22.1,90,90
1966,5.2,COLOMBIA,COLOMBIA,4.6,-73.9,90,0
1966,5.4,CHINA,CHINA:YUNNAN PROVINCE,24,97.7,90,180
1966,5,VENEZUELA,VENEZUELA,10.8,-69.5,90,0
1966,6.4,CHINA,CHINA:YUNNAN PROVINCE,27.5,100.1,90,180
